BreedName,Group1,Temperment,AvgPupPrice,PopularityUS2017
Komondor,Working,"Affectionate, Calm, Fearless, Gentle, Independent, Steady",1000,163.0
Kuvasz,Working,"Clownish, Independent, Intelligent, Loyal, Patient, Protective",1350,157.0
Kyi Leo,Non Sporting,"Active, Calm, Forgiving, Obedient, Playful, Quiet",700,
Labrador Retriever,Sporting,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1500,1.0
Lakeland Terrier,Terrier,"Independent, Bold, Confident, Friendly, Intelligent, Trainable",1500,138.0
Lancashire Heeler,Herding,"Alert, Clever, Friendly, Intelligent",700,
Leonberger,Working,"Adaptable, Companionable, Fearless, Loving, Loyal, Obedient",1750,100.0
Lhasa Apso,Non Sporting,"Alert, Assertive, Devoted, Friendly, Intelligent, Lively, Obedient, Playful, Spirited, Steady",600,77.0
Lowchen,Non Sporting,"Active, Familial, Friendly, Happy, Playful",400,169.0
Maltese,Toy,"Active, Docile, Easygoing, Gentle, Intelligent, Playful, Responsive, Sweet-tempered",700,33.0
Manchester Terrier,Terrier,"Active, Alert, Devoted, Discerning, Quiet, Loyal, Intelligent",800,135.0
Maremma Sheepdog,Working,"Alert, Determined, Dignified, Friendly, Intelligent, Loyal",700,
Mastiff,Working,"Affectionate, Alert, Cheerful, Courageous, Intelligent, Loyal, Protective",1350,28.0
McNab,Herding,"Friendly, Hard-working, Obedient, Protective, Sociable, Well-mannered",400,
Miniature Pinscher,Toy,"Clever, Energetic, Friendly, Outgoing, Playful, Responsive, Intelligent",500,71.0
Mountain Cur,Working,"Intelligent, Protective",400,
Mountain Dog,Working,"Affectionate, Faithful, Intelligent, Loyal",900,25.0
Munsterlander,Sporting,"Intelligent, Trainable, Attentive, Mischevious",1500,
Neapolitan Mastiff,Working,"Protective, Dominant, Fearless, Obedient, Stubborn, Trainable",1750,107.0
New Guinea Singing Dog,Southern,"Active, Affectionate, Alert, Gentle, Lively",3000,
Newfoundland Dog,Working,"Cheerful, Courageous, Intelligent, Loyal, Social, Sweet, Gentle",1750,36.0
Norfolk Terrier,Terrier,"Companionable, Fearless, Happy, Lovable, Self-confident, Spirited, Intelligent",2250,128.0
Norwegian Buhund,Herding,"Agile, Courageous, Energetic, Friendly, Fun-loving",900,170.0
Norwegian Elkhound,Hound,"Alert, Bold, Hardy, Loyal, Playful, Strong-willed, Intelligent",600,91.0
Norwegian Lundehund,Non Sporting,"Alert, Energetic, Loyal, Protective",500,190.0
Norwich Terrier,Terrier,"Affectionate, Energetic, Hardy, Intelligent, Sensitive",1700,105.0
Nova Scotia Duck-Tolling Retriever,Sporting,"Affectionate, Alert, Courageous, Energetic, Gentle, Playful, Responsive",1900,89.0
Old English Sheepdog,Herding,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",1350,70.0
Otterhound,Hound,"Amiable, Boisterous, Even-tempered",550,186.0
Papillon,Toy,"Alert, Energetic, Friendly, Happy, Hardy, Intelligent",500,53.0
Patterdale Terrier (Fell Terrier),Terrier,"Bold, Confident, Energetic, Friendly, Inquisitive, Intelligent",600,
Pekingese,Toy,"Affectionate, Aggressive, Good-natured, Intelligent, Opinionated, Stubborn",700,88.0
Peruvian Inca Orchid,Hound,"Affectionate, Alert, Intelligent, Lively, Noble, Protective",500,
Petit Basset Griffon Vendeen,Hound,"Active, Extroverted, Friendly, Happy, Independent, Lively, Intelligent",1400,160.0
Pharaoh Hound,Hound,"Active, Affectionate, Intelligent, Playful, Sociable, Trainable",1900,174.0
Pit Bull Terrier,Terrier,"Affectionate, Aggressive, Clownish, Courageous, Friendly, Intelligent, Loyal, Obedient, Strong-willed, Stubborn",600,
Plott Hound,Hound,"Alert, Bold, Courageous, Loyal",400,166.0
Podengo Portugueso,Hound,"Active, Companionable, Friendly, Hardy, Lively, Loyal",900,159.0
Pointer,Sporting,"Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent",450,113.0
Polish Lowland Sheepdog,Herding,"Agile, Even-tempered, Lively, Perceptive, Self-confident",1750,176.0
Pomeranian,Toy,"Active, Extroverted, Friendly, Intelligent, Lively, Playful, Sociable",700,22.0
Poodle,Non Sporting,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250,7.0
Standard Poodle,Non Sporting,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250,7.0
Miniature Poodle,Toy,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250,
Toy Poodle,Toy,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250,
Portuguese Water Dog,Working,"Brave, Docile, Impetuous, Intelligent, Obedient, Quarrelsome",2650,54.0
Presa Canario,Working,"Calm, Dominant, Gentle, Strong-willed, Suspicious",2100,
Pug,Toy,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Friendly, Outgoing, Playful, Loyal",400,31.0
Puli,Herding,"Agile, Energetic, Faithful, Intelligent, Loyal, Obedient",1100,142.0
